Species,1,2,3,4,5, 
Red-winged Blackbird,0,0,0,0,1,Breeder
Ovenbird,2,1,0,0,0,Breeder
Common Yellowthroat,0,0,0,2,1,Breeder
Northern Parula,0,0,1,0,0,Breeder
Magnolia Warbler,0,1,0,0,0,Breeder
Yellow Warbler,0,0,0,1,1,Breeder
Chestnut-sided Warbler,0,0,0,0,2,Breeder
Black-throated Blue Warbler,0,1,0,0,0,Breeder
Black-throated Green Warbler,1,0,1,0,0,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
Species,31,32,33,34,35, 
Blue-winged Teal,0,0,0,0,3,Breeder
Northern Shoveler,0,0,0,0,1,Breeder
Gadwall,0,0,0,0,2,Breeder
American Wigeon,0,0,0,0,2,Breeder
Mallard,0,0,0,0,8,Breeder
American Black Duck,0,0,0,0,3,Breeder
Ring-necked Duck,0,0,0,0,1,Breeder
Ring-necked Pheasant,0,0,1,0,0,Breeder
American Herring Gull,0,2,0,1,0,Breeder
Osprey,0,0,0,0,1,Breeder
Philadelphia Vireo,1,0,0,0,0,Breeder
American Crow,0,2,3,2,0,Breeder
Black-capped Chickadee,0,1,0,0,0,Breeder
Cedar Waxwing,0,1,0,0,1,Breeder
European Starling,1,3,5,3,0,Breeder
American Robin,1,1,0,0,0,Breeder
Song Sparrow,2,1,2,3,0,Breeder
Red-winged Blackbird,0,0,0,0,6,Breeder
Common Grackle,0,1,0,0,0,Breeder
Common Yellowthroat,0,0,1,0,0,Breeder
Northern Parula,1,0,0,0,0,Breeder
Yellow Warbler,0,0,1,0,0,Breeder
Number of Vehicles,2,1,1,0,0
Excessive Noise,,,,,
Species,36,37,38,39,40, 
Ring-necked Pheasant,1,2,0,0,0,Breeder
Ruby-throated Hummingbird,0,1,0,0,0,Breeder
Alder Flycatcher,0,0,1,0,0,Breeder
Blue-headed Vireo,0,1,0,0,0,Breeder
Philadelphia Vireo,1,0,1,0,0,Breeder
Red-eyed Vireo,0,0,0,0,2,Breeder
Blue Jay,0,0,0,2,0,Breeder
American Crow,0,0,1,3,1,Breeder
Black-capped Chickadee,0,0,1,0,0,Breeder
European Starling,3,0,2,0,1,Breeder
Hermit Thrush,0,1,0,0,0,Breeder
American Robin,1,1,0,2,2,Breeder
Purple Finch,0,0,1,0,0,Breeder
Song Sparrow,1,0,0,2,0,Breeder
Ovenbird,0,1,0,0,0,Breeder
Common Yellowthroat,0,0,1,0,0,Breeder
American Redstart,1,1,0,0,0,Breeder
Yellow Warbler,0,0,1,0,0,Breeder
Chestnut-sided Warbler,2,0,0,0,0,Breeder
Number of Vehicles,0,0,2,0,4
Excessive Noise,,,,,
Species,41,42,43,44,45, 
Ring-necked Pheasant,0,0,0,1,0,Breeder
Mourning Dove,0,0,0,1,0,Breeder
Rock Pigeon,0,0,0,2,0,Breeder
American Herring Gull,0,0,1,0,0,Breeder
Great Blue Heron,0,1,0,0,0,Breeder
Philadelphia Vireo,0,0,0,0,1,Breeder
Red-eyed Vireo,1,0,0,0,0,Breeder
Blue Jay,0,1,0,0,1,Breeder
American Crow,0,0,2,0,0,Breeder
European Starling,0,0,0,6,1,Breeder
Swainson's Thrush,1,0,0,0,0,Breeder
American Robin,1,0,0,0,2,Breeder
Song Sparrow,0,1,0,1,0,Breeder
Swamp Sparrow,0,0,0,1,1,Breeder
Red-winged Blackbird,0,0,0,1,0,Breeder
Common Grackle,0,0,0,6,0,Breeder
Ovenbird,1,1,0,0,0,Breeder
Common Yellowthroat,0,1,0,1,1,Breeder
Northern Parula,2,1,0,0,0,Breeder
Yellow Warbler,0,0,0,0,1,Breeder
Chestnut-sided Warbler,0,0,0,0,1,Breeder
Black-throated Green Warbler,0,0,0,0,2,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
Species,46,47,48,49,50, 
Mourning Dove,0,1,1,0,0,Breeder
Great Blue Heron,0,0,0,1,0,Breeder
(Yellow-shafted Flicker) Northern Flicker,0,0,1,0,0,Breeder
Alder Flycatcher,0,0,0,0,1,Breeder
Least Flycatcher,0,0,0,0,1,Breeder
Red-eyed Vireo,0,0,0,1,1,Breeder
Canada Jay,0,0,1,0,0,Breeder
Blue Jay,0,0,1,0,0,Breeder
American Crow,1,1,0,0,0,Breeder
Black-capped Chickadee,0,2,0,0,1,Breeder
Swainson's Thrush,0,0,0,1,1,Breeder
American Robin,0,2,0,0,0,Breeder
White-throated Sparrow,0,0,1,0,0,Breeder
Song Sparrow,0,2,0,0,0,Breeder
Ovenbird,1,0,0,0,1,Breeder
Common Yellowthroat,0,1,0,0,0,Breeder
American Redstart,0,0,1,0,1,Breeder
Northern Parula,1,0,0,0,0,Breeder
Chestnut-sided Warbler,0,1,0,0,1,Breeder
Black-throated Green Warbler,1,0,0,1,0,Breeder
Number of Vehicles,0,0,1,0,0
