Species,1,2,3,4,5, 
Common Grackle,0,1,0,1,1,Breeder
Ovenbird,0,0,0,0,2,Breeder
Black-and-white Warbler,1,0,0,0,0,Breeder
American Redstart,1,0,0,0,0,Breeder
Northern Parula,0,0,0,0,1,Breeder
Yellow Warbler,0,0,1,0,0,Breeder
Chestnut-sided Warbler,0,0,0,1,0,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,1,0,0,0,0,Breeder
Number of Vehicles,4,0,2,0,0
Excessive Noise,,,,,
Species,21,22,23,24,25, 
Rock Pigeon,0,0,0,0,8,Breeder
Downy Woodpecker,1,0,0,0,0,Breeder
Alder Flycatcher,0,0,0,0,2,Breeder
Blue-headed Vireo,0,0,0,1,0,Breeder
Red-eyed Vireo,1,0,0,0,1,Breeder
Blue Jay,0,1,0,0,0,Breeder
American Crow,2,0,0,4,1,Breeder
Black-capped Chickadee,0,2,0,0,1,Breeder
Golden-crowned Kinglet,0,1,0,0,0,Breeder
Red-breasted Nuthatch,1,0,0,0,1,Breeder
Winter Wren,0,1,0,1,0,Breeder
Swainson's Thrush,0,0,1,1,0,Breeder
Hermit Thrush,0,0,1,0,0,Breeder
American Robin,1,0,1,0,1,Breeder
Purple Finch,0,0,0,0,1,Breeder
American Goldfinch,0,0,1,0,0,Breeder
White-throated Sparrow,0,0,0,0,1,Breeder
Song Sparrow,0,0,1,0,1,Breeder
Common Grackle,0,0,0,2,0,Breeder
Ovenbird,0,1,1,1,1,Breeder
Common Yellowthroat,0,0,1,0,0,Breeder
American Redstart,0,0,1,0,1,Breeder
Northern Parula,1,0,0,1,1,Breeder
Magnolia Warbler,0,1,0,0,0,Breeder
Chestnut-sided Warbler,1,0,0,0,0,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,0,0,1,0,0,Breeder
Black-throated Green Warbler,0,0,0,0,1,Breeder
Number of Vehicles,1,1,0,1,0
Excessive Noise,,,,,
Species,26,27,28,29,30, 
Canada Goose,0,0,0,0,1,Breeder
American Wigeon,0,0,0,1,0,Breeder
Ring-necked Pheasant,0,0,0,1,0,Breeder
Downy Woodpecker,0,0,0,1,0,Breeder
American Kestrel,1,0,0,0,0,Breeder
Alder Flycatcher,0,0,0,1,1,Breeder
Blue-headed Vireo,0,1,1,0,0,Breeder
Red-eyed Vireo,0,0,0,1,1,Breeder
Blue Jay,3,0,0,1,0,Breeder
American Crow,0,0,1,0,2,Breeder
Black-capped Chickadee,0,0,1,0,1,Breeder
Cedar Waxwing,0,0,4,0,0,Breeder
Red-breasted Nuthatch,0,1,0,0,0,Breeder
Winter Wren,1,0,1,0,0,Breeder
Gray Catbird,0,0,0,0,1,Breeder
European Starling,0,0,0,0,2,Breeder
Swainson's Thrush,0,0,1,1,0,Breeder
American Robin,1,0,0,0,0,Breeder
White-throated Sparrow,0,1,0,0,0,Breeder
Song Sparrow,0,0,0,2,1,Breeder
Ovenbird,0,1,0,1,0,Breeder
Black-and-white Warbler,0,0,1,0,0,Breeder
Common Yellowthroat,0,1,0,1,0,Breeder
American Redstart,0,1,0,0,0,Breeder
Northern Parula,0,1,2,0,0,Breeder
Blackburnian Warbler,0,0,1,0,0,Breeder
Yellow Warbler,0,0,0,0,1,Breeder
Chestnut-sided Warbler,0,0,0,1,0,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,0,1,0,0,0,Breeder
Number of Vehicles,2,1,1,0,1
Excessive Noise,,,,,
Species,31,32,33,34,35, 
Blue-winged Teal,0,0,0,0,5,Breeder
Northern Shoveler,0,0,0,0,2,Breeder
American Wigeon,0,0,0,0,4,Breeder
Ring-necked Pheasant,0,0,0,2,0,Breeder
Rock Pigeon,0,0,2,0,0,Breeder
Ruby-throated Hummingbird,1,0,0,0,0,Breeder
Sora,0,0,0,0,1,Breeder
Great Blue Heron,0,0,0,2,0,Breeder
Alder Flycatcher,0,1,1,0,0,Breeder
Least Flycatcher,0,0,0,0,1,Breeder
Blue Jay,0,1,0,0,0,Breeder
American Crow,2,1,1,2,0,Breeder
Tree Swallow,0,0,3,0,0,Breeder
Barn Swallow,0,0,2,0,0,Breeder
European Starling,3,2,0,5,0,Breeder
American Robin,1,1,0,0,0,Breeder
American Goldfinch,0,1,0,2,0,Breeder
Song Sparrow,2,1,1,1,1,Breeder
Red-winged Blackbird,0,0,0,1,10,Breeder
Common Yellowthroat,1,0,0,0,0,Breeder
Northern Parula,2,0,0,0,0,Breeder
Yellow Warbler,0,1,0,0,0,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
Species,36,37,38,39,40, 
Ring-necked Pheasant,0,1,0,0,0,Breeder
Ruby-throated Hummingbird,1,1,0,1,0,Breeder
Hairy Woodpecker,0,0,0,0,1,Breeder
(Yellow-shafted Flicker) Northern Flicker,1,0,0,0,0,Breeder
Merlin,0,0,1,0,0,Breeder
Eastern Kingbird,0,0,1,0,0,Breeder
Philadelphia Vireo,0,0,0,0,1,Breeder
Red-eyed Vireo,0,1,0,0,0,Breeder
Blue Jay,0,0,0,0,1,Breeder
Tree Swallow,0,0,1,0,0,Breeder
Gray Catbird,1,0,0,0,0,Breeder
European Starling,3,1,0,0,3,Breeder
American Robin,0,0,0,1,1,Breeder
Song Sparrow,2,2,1,1,0,Breeder
Ovenbird,0,0,0,0,1,Breeder
Common Yellowthroat,1,1,0,1,0,Breeder
American Redstart,0,0,1,1,0,Breeder
Yellow Warbler,1,0,0,0,0,Breeder
Chestnut-sided Warbler,0,0,0,1,0,Breeder
Black-throated Blue Warbler,0,0,1,0,0,Breeder
Number of Vehicles,0,0,3,3,1
Excessive Noise,,,,,
Species,41,42,43,44,45, 
Rock Pigeon,0,0,0,7,0,Breeder
Ruby-throated Hummingbird,0,0,2,0,0,Breeder
Turkey Vulture,0,0,2,0,2,Breeder
Blue-headed Vireo,1,0,0,0,0,Breeder
Red-eyed Vireo,0,0,1,0,0,Breeder
Blue Jay,0,1,0,0,0,Breeder
Common Raven,1,0,0,0,0,Breeder
Tree Swallow,0,0,0,2,0,Breeder
European Starling,0,0,0,1,0,Breeder
American Robin,0,0,0,1,0,Breeder
(Slate-colored Junco) Dark-eyed Junco,0,1,0,0,0,Breeder
White-throated Sparrow,1,0,0,0,0,Breeder
Song Sparrow,0,2,1,1,2,Breeder
Common Grackle,0,1,0,0,0,Breeder
Common Yellowthroat,0,0,0,1,0,Breeder
American Redstart,0,0,0,0,1,Breeder
Cape May Warbler,0,1,0,0,0,Breeder
Northern Parula,1,1,0,0,1,Breeder
Chestnut-sided Warbler,0,0,1,0,1,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,1,0,0,0,0,Breeder
Number of Vehicles,0,1,1,0,0
Excessive Noise,,,,,
Species,46,47,48,49,50, 
Ruffed Grouse,0,0,0,0,1,Breeder
Ring-necked Pheasant,1,0,0,0,0,Breeder
Mourning Dove,0,1,1,0,0,Breeder
Alder Flycatcher,2,0,0,0,0,Breeder
Blue-headed Vireo,0,0,0,0,1,Breeder
Red-eyed Vireo,0,0,1,0,0,Breeder
Blue Jay,1,0,0,0,0,Breeder
American Crow,0,3,0,0,1,Breeder
Black-capped Chickadee,0,0,0,1,0,Breeder
American Robin,0,1,0,0,0,Breeder
White-throated Sparrow,0,1,0,2,1,Breeder
Song Sparrow,1,2,0,0,0,Breeder
Ovenbird,1,0,0,1,0,Breeder
Black-and-white Warbler,0,0,0,0,1,Breeder
Common Yellowthroat,0,1,0,2,0,Breeder
American Redstart,0,0,0,1,1,Breeder
Northern Parula,0,1,0,1,1,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,0,0,1,0,0,Breeder
Black-throated Green Warbler,1,0,0,0,0,Breeder
Number of Vehicles,0,0,1,0,2
Excessive Noise,,,,,
