Species,1,2,3,4,5, 
Ring-necked Pheasant,0,0,0,1,1,Breeder
Rock Pigeon,1,0,0,0,0,Breeder
Great Blue Heron,0,0,0,2,1,Breeder
Yellow-bellied Sapsucker,1,0,0,0,0,Breeder
Alder Flycatcher,1,0,1,0,0,Breeder
Red-eyed Vireo,0,1,1,0,0,Breeder
Blue Jay,1,0,0,0,0,Breeder
American Crow,1,0,1,0,1,Breeder
Tree Swallow,0,0,2,1,2,Breeder
Barn Swallow,0,0,1,0,0,Breeder
Cedar Waxwing,2,0,0,1,0,Breeder
European Starling,5,1,2,3,0,Breeder
American Robin,1,0,0,0,0,Breeder
American Goldfinch,0,0,1,1,0,Breeder
Chipping Sparrow,0,0,0,0,1,Breeder
Song Sparrow,1,1,2,1,1,Breeder
Red-winged Blackbird,0,0,1,2,10,Breeder
Common Grackle,0,0,1,3,0,Breeder
Common Yellowthroat,0,1,0,0,1,Breeder
Blackburnian Warbler,0,1,0,0,0,Breeder
Yellow Warbler,0,0,0,0,1,Breeder
Number of Vehicles,0,2,2,0,0
Excessive Noise,,,,,
Species,36,37,38,39,40, 
Ring-necked Pheasant,0,0,1,0,0,Breeder
Mourning Dove,0,0,1,0,0,Breeder
Downy Woodpecker,0,1,0,0,0,Breeder
Hairy Woodpecker,1,0,0,0,0,Breeder
Alder Flycatcher,1,0,2,0,0,Breeder
Eastern Phoebe,2,0,0,0,0,Breeder
Red-eyed Vireo,0,0,2,1,0,Breeder
American Crow,0,0,0,2,0,Breeder
Black-capped Chickadee,0,0,1,0,2,Breeder
Cedar Waxwing,1,0,0,1,20,Breeder
European Starling,0,2,2,0,0,Breeder
Hermit Thrush,0,1,0,0,0,Breeder
American Robin,0,1,2,2,0,Breeder
American Goldfinch,2,0,0,0,0,Breeder
Song Sparrow,3,1,2,1,1,Breeder
Common Grackle,0,1,0,0,0,Breeder
Ovenbird,0,0,0,0,2,Breeder
Black-and-white Warbler,1,0,0,0,0,Breeder
Common Yellowthroat,0,1,0,0,0,Breeder
American Redstart,1,1,0,2,1,Breeder
Northern Parula,2,0,1,0,0,Breeder
Blackburnian Warbler,0,0,0,0,1,Breeder
Chestnut-sided Warbler,1,0,0,0,1,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,0,1,0,0,0,Breeder
Black-throated Green Warbler,0,0,0,0,1,Breeder
Number of Vehicles,0,0,2,0,1
Excessive Noise,,,,,
Species,41,42,43,44,45, 
Common Merganser,0,0,0,1,0,Breeder
Ruffed Grouse,0,0,1,0,0,Breeder
Ruby-throated Hummingbird,0,0,3,0,0,Breeder
Alder Flycatcher,0,1,1,0,0,Breeder
Red-eyed Vireo,0,0,1,0,0,Breeder
American Crow,1,1,1,2,1,Breeder
Black-capped Chickadee,0,0,1,0,0,Breeder
Tree Swallow,0,0,0,1,0,Breeder
Cedar Waxwing,0,3,0,0,1,Breeder
Red-breasted Nuthatch,0,0,0,0,1,Breeder
European Starling,0,0,1,5,0,Breeder
Swainson's Thrush,1,0,0,0,0,Breeder
American Robin,1,2,1,0,1,Breeder
American Goldfinch,0,3,0,3,0,Breeder
Chipping Sparrow,0,0,1,0,0,Breeder
(Slate-colored Junco) Dark-eyed Junco,0,0,0,0,2,Breeder
Song Sparrow,0,0,1,1,0,Breeder
Ovenbird,1,0,0,0,0,Breeder
Nashville Warbler,0,1,0,0,0,Breeder
Common Yellowthroat,0,1,0,0,1,Breeder
Northern Parula,3,1,0,0,0,Breeder
Magnolia Warbler,0,0,0,0,1,Breeder
Blackburnian Warbler,1,0,0,0,0,Breeder
Black-throated Green Warbler,0,0,0,0,2,Breeder
Number of Vehicles,1,0,1,2,0
Excessive Noise,,,,,
Species,46,47,48,49,50, 
Ring-necked Pheasant,0,1,0,0,0,Breeder
Downy Woodpecker,0,0,0,0,1,Breeder
Alder Flycatcher,1,2,1,0,0,Breeder
Philadelphia Vireo,1,0,0,1,1,Breeder
American Crow,1,2,0,0,0,Breeder
Common Raven,0,1,1,0,0,Breeder
Black-capped Chickadee,0,0,4,0,0,Breeder
Golden-crowned Kinglet,0,0,0,0,1,Breeder
Gray Catbird,0,0,0,0,1,Breeder
Swainson's Thrush,0,0,0,2,0,Breeder
American Robin,0,0,0,1,0,Breeder
White-throated Sparrow,0,0,1,0,0,Breeder
Song Sparrow,1,1,0,0,0,Breeder
Ovenbird,2,0,1,0,1,Breeder
Common Yellowthroat,1,1,0,0,0,Breeder
American Redstart,0,0,0,0,1,Breeder
Northern Parula,0,0,0,1,1,Breeder
Chestnut-sided Warbler,0,1,0,0,0,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,1,1,0,0,1,Breeder
Black-throated Green Warbler,1,0,1,2,2,Breeder
Number of Vehicles,0,0,2,1,0
Excessive Noise,,,,,
