Species,1,2,3,4,5, 
Excessive Noise,,,,,
Species,21,22,23,24,25, 
Yellow-bellied Sapsucker,0,0,1,0,0,Breeder
(Yellow-shafted Flicker) Northern Flicker,0,1,0,0,0,Breeder
Blue-headed Vireo,0,0,1,0,0,Breeder
Philadelphia Vireo,0,0,0,0,1,Breeder
Red-eyed Vireo,1,0,0,1,1,Breeder
American Crow,2,0,0,0,0,Breeder
Cedar Waxwing,2,0,0,0,1,Breeder
Red-breasted Nuthatch,0,0,0,0,1,Breeder
Swainson's Thrush,0,1,0,0,0,Breeder
(Slate-colored Junco) Dark-eyed Junco,0,0,0,0,1,Breeder
White-throated Sparrow,0,0,0,1,1,Breeder
Common Grackle,0,0,0,0,1,Breeder
Ovenbird,0,1,1,1,0,Breeder
Black-and-white Warbler,0,0,0,1,1,Breeder
Nashville Warbler,0,0,0,0,1,Breeder
Common Yellowthroat,0,0,1,0,0,Breeder
Cape May Warbler,0,0,0,1,0,Breeder
Northern Parula,0,0,0,1,1,Breeder
Magnolia Warbler,1,0,0,0,0,Breeder
Chestnut-sided Warbler,0,1,0,0,0,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,1,0,0,1,0,Breeder
Black-throated Green Warbler,0,1,0,0,0,Breeder
Scarlet Tanager,1,0,0,0,0,Breeder
Number of Vehicles,0,1,3,2,2
Excessive Noise,,,,,
Species,26,27,28,29,30, 
Canada Goose,0,0,0,0,1,Breeder
Ring-necked Pheasant,1,0,0,1,1,Breeder
Downy Woodpecker,0,0,0,1,0,Breeder
Hairy Woodpecker,0,0,0,0,2,Breeder
Alder Flycatcher,0,0,0,1,1,Breeder
Blue-headed Vireo,0,1,1,0,0,Breeder
Philadelphia Vireo,1,0,0,0,0,Breeder
Blue Jay,0,0,0,0,1,Breeder
American Crow,0,0,2,4,0,Breeder
Black-capped Chickadee,0,1,0,0,0,Breeder
Golden-crowned Kinglet,0,2,0,0,0,Breeder
Red-breasted Nuthatch,0,0,0,2,0,Breeder
Gray Catbird,0,0,0,0,2,Breeder
Swainson's Thrush,0,0,2,0,0,Breeder
American Robin,1,0,0,0,0,Breeder
American Goldfinch,0,0,0,2,1,Breeder
Chipping Sparrow,0,0,0,0,1,Breeder
Song Sparrow,0,0,0,2,4,Breeder
Ovenbird,0,1,1,0,0,Breeder
Common Yellowthroat,0,0,0,0,1,Breeder
Cape May Warbler,1,0,0,0,0,Breeder
Northern Parula,1,0,1,0,1,Breeder
Magnolia Warbler,1,0,0,0,0,Breeder
Yellow Warbler,0,0,0,1,0,Breeder
Black-throated Green Warbler,0,1,0,0,0,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
Species,31,32,33,34,35, 
American Wigeon,0,0,0,0,2,Breeder
Mallard,0,0,0,0,1,Breeder
Ring-necked Duck,0,0,0,0,7,Breeder
Ring-necked Pheasant,1,0,0,1,0,Breeder
Great Blue Heron,0,0,5,0,0,Breeder
Hairy Woodpecker,1,0,0,0,0,Breeder
Red-eyed Vireo,1,0,0,0,1,Breeder
Blue Jay,2,0,0,0,0,Breeder
American Crow,6,2,1,1,0,Breeder
Black-capped Chickadee,0,0,0,1,0,Breeder
Tree Swallow,0,0,0,1,0,Breeder
Cedar Waxwing,0,0,0,2,0,Breeder
Gray Catbird,0,1,0,0,0,Breeder
European Starling,0,9,3,4,0,Breeder
Veery,0,1,0,0,0,Breeder
Swainson's Thrush,1,0,0,0,0,Breeder
American Robin,0,0,0,1,0,Breeder
American Goldfinch,1,0,2,0,0,Breeder
Song Sparrow,1,1,3,1,0,Breeder
Swamp Sparrow,0,0,0,0,2,Breeder
Bobolink,0,0,2,0,0,Breeder
Red-winged Blackbird,0,0,2,4,10,Breeder
Common Grackle,0,0,0,2,0,Breeder
Common Yellowthroat,1,0,0,0,0,Breeder
American Redstart,0,1,0,0,0,Breeder
Northern Parula,0,1,0,0,0,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
Species,36,37,38,39,40, 
Mourning Dove,0,0,0,0,1,Breeder
American Herring Gull,0,0,1,0,0,Breeder
Downy Woodpecker,0,0,1,0,0,Breeder
Red-eyed Vireo,0,1,1,0,1,Breeder
Blue Jay,0,0,0,0,1,Breeder
American Crow,6,3,3,3,1,Breeder
Black-capped Chickadee,1,0,0,0,0,Breeder
Hermit Thrush,2,0,0,0,0,Breeder
American Robin,1,0,0,0,0,Breeder
American Goldfinch,0,3,0,2,3,Breeder
(Slate-colored Junco) Dark-eyed Junco,0,0,0,0,1,Breeder
White-throated Sparrow,0,0,0,0,2,Breeder
Song Sparrow,0,2,1,0,0,Breeder
Common Grackle,0,0,2,0,0,Breeder
Ovenbird,1,1,0,0,0,Breeder
Northern Parula,1,1,0,0,0,Breeder
Chestnut-sided Warbler,2,0,1,0,0,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,0,0,0,1,0,Breeder
Black-throated Green Warbler,0,0,0,0,1,Breeder
Number of Vehicles,0,0,1,5,5
Excessive Noise,,,,,
Species,41,42,43,44,45, 
Ring-necked Pheasant,0,0,0,0,1,Breeder
Mourning Dove,0,1,0,0,0,Breeder
Philadelphia Vireo,1,0,0,0,0,Breeder
Red-eyed Vireo,0,0,0,1,0,Breeder
American Crow,1,2,2,2,1,Breeder
Black-capped Chickadee,0,0,0,0,1,Breeder
Tree Swallow,0,1,0,0,0,Breeder
Golden-crowned Kinglet,1,0,0,0,0,Breeder
European Starling,0,0,0,3,0,Breeder
Swainson's Thrush,1,0,0,0,0,Breeder
American Robin,0,1,0,0,0,Breeder
American Goldfinch,0,0,0,1,2,Breeder
White-throated Sparrow,0,0,0,0,1,Breeder
Song Sparrow,0,2,2,1,0,Breeder
Common Grackle,0,0,0,1,0,Breeder
Ovenbird,1,0,0,0,0,Breeder
Common Yellowthroat,0,1,1,1,1,Breeder
Northern Parula,1,1,0,0,1,Breeder
Yellow Warbler,0,0,0,0,1,Breeder
Black-throated Green Warbler,1,0,0,0,0,Breeder
Number of Vehicles,2,0,0,0,2
Excessive Noise,,,,,
Species,46,47,48,49,50, 
Great Black-backed Gull,0,0,0,0,3,Breeder
Hairy Woodpecker,0,1,0,0,0,Breeder
Alder Flycatcher,1,0,0,0,0,Breeder
Philadelphia Vireo,1,0,0,0,0,Breeder
Red-eyed Vireo,0,0,1,1,1,Breeder
American Crow,0,1,0,0,0,Breeder
Black-capped Chickadee,0,0,1,1,2,Breeder
Golden-crowned Kinglet,0,1,0,0,0,Breeder
Cedar Waxwing,0,1,0,0,0,Breeder
Red-breasted Nuthatch,0,0,0,1,0,Breeder
European Starling,0,1,0,0,0,Breeder
Swainson's Thrush,1,0,0,0,0,Breeder
White-throated Sparrow,0,0,3,0,1,Breeder
Song Sparrow,0,3,0,0,0,Breeder
Ovenbird,0,0,0,2,1,Breeder
Common Yellowthroat,0,1,0,0,0,Breeder
American Redstart,1,0,0,0,2,Breeder
Northern Parula,1,0,0,1,0,Breeder
Chestnut-sided Warbler,0,1,0,0,0,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,0,0,1,0,0,Breeder
Black-throated Green Warbler,0,1,1,1,0,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
