Species,1,2,3,4,5, 
Swainson's Thrush,,1,,1,,Breeder
Hermit Thrush,,,,,1,Breeder
American Robin,1,1,3,,1,Breeder
White-throated Sparrow,1,1,3,1,,Breeder
Ovenbird,1,1,,1,,Breeder
Nashville Warbler,,1,1,,,Breeder
Common Yellowthroat,,1,,,,Breeder
American Redstart,,,,1,2,Breeder
Bay-breasted Warbler,,,,1,,Breeder
Chestnut-sided Warbler,,1,1,,,Breeder
Black-throated Blue Warbler,,1,,,,Breeder
Black-throated Green Warbler,2,,,,,Breeder
Vesper Sparrow,,,1,,,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
Species,16,17,18,19,20, 
Yellow-bellied Sapsucker,,,,,1,Breeder
Alder Flycatcher,1,1,,,,Breeder
Blue Jay,,,5,,,Breeder
American Crow,1,,,,,Breeder
Black-capped Chickadee,1,,,2,,Breeder
Golden-crowned Kinglet,1,,,,,Breeder
Red-breasted Nuthatch,,,1,,,Breeder
Winter Wren,,,,,1,Breeder
American Robin,1,2,,,1,Breeder
American Goldfinch,,,1,,,Breeder
White-throated Sparrow,1,,1,,2,Breeder
Ovenbird,,1,2,2,1,Breeder
Black-and-white Warbler,,1,,,,Breeder
Nashville Warbler,,1,,,,Breeder
Northern Parula,,,1,,,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,1,,,,,Breeder
Black-throated Green Warbler,,2,2,1,2,Breeder
Brown Creeper,,,,,1,Breeder
Pine Warbler,,,1,,,Breeder
Number of Vehicles,0,0,0,1,0
Excessive Noise,,,,,
Species,21,22,23,24,25, 
Downy Woodpecker,,,,1,,Breeder
Pileated Woodpecker,1,,,1,,Breeder
Alder Flycatcher,,,2,,,Breeder
Red-eyed Vireo,,,,1,,Breeder
Blue Jay,,,,,1,Breeder
Cedar Waxwing,,,1,,,Breeder
Hermit Thrush,,,,1,,Breeder
American Robin,,2,,,,Breeder
American Goldfinch,,,1,,,Breeder
Chipping Sparrow,,,1,,,Breeder
Ovenbird,3,2,,,,Breeder
Black-and-white Warbler,,1,1,1,1,Breeder
Common Yellowthroat,,,1,,,Breeder
American Redstart,1,,,,,Breeder
Northern Parula,1,,,1,1,Breeder
Blackburnian Warbler,1,,,1,,Breeder
Chestnut-sided Warbler,,,2,,1,Breeder
Black-throated Blue Warbler,,1,,,,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,,,1,,,Breeder
Black-throated Green Warbler,,1,,1,,Breeder
Wild Turkey,1,,,,,Breeder
Chimney Swift,,,,,3,Breeder
Number of Vehicles,0,0,4,0,2
Excessive Noise,,,,,
Species,26,27,28,29,30, 
Mourning Dove,1,2,,,,Breeder
Downy Woodpecker,,1,,,,Breeder
Hairy Woodpecker,,,,1,,Breeder
(Yellow-shafted Flicker) Northern Flicker,,,1,,,Breeder
Alder Flycatcher,1,,,,,Breeder
Eastern Phoebe,,1,,,,Breeder
Blue Jay,4,5,,,,Breeder
American Crow,,1,3,1,,Breeder
Black-capped Chickadee,,,5,,1,Breeder
Cedar Waxwing,,12,,20,4,Breeder
Gray Catbird,1,1,,,,Breeder
American Robin,,,,,2,Breeder
White-throated Sparrow,,,,,1,Breeder
Swamp Sparrow,1,,,,,Breeder
Common Grackle,2,2,,,4,Breeder
Ovenbird,1,,1,,2,Breeder
Northern Parula,,,1,2,1,Breeder
Magnolia Warbler,,,,1,,Breeder
Blackburnian Warbler,,,,,1,Breeder
Chestnut-sided Warbler,,,1,2,,Breeder
Black-throated Green Warbler,,,,,1,Breeder
Common Merganser,,,1,,,Breeder
Chimney Swift,,,,,1,Breeder
Northern Cardinal,,,1,,,Breeder
Number of Vehicles,0,0,2,0,1
Excessive Noise,,,,,
Species,31,32,33,34,35, 
Ruby-throated Hummingbird,,1,,,,Breeder
Eastern Wood-Pewee,,1,,,,Breeder
Alder Flycatcher,,1,,,,Breeder
Blue Jay,1,,1,,,Breeder
American Crow,,,2,,6,Breeder
Black-capped Chickadee,,1,2,,,Breeder
Tree Swallow,,,,1,,Breeder
Cedar Waxwing,,,1,4,,Breeder
Red-breasted Nuthatch,1,,,,,Breeder
American Robin,,1,2,,,Breeder
Chipping Sparrow,,,,,1,Breeder
(Slate-colored Junco) Dark-eyed Junco,,,,,1,Breeder
White-throated Sparrow,,,1,,,Breeder
Red-winged Blackbird,,,,5,,Breeder
Ovenbird,1,1,,,,Breeder
Common Yellowthroat,,,,1,1,Breeder
American Redstart,1,,,,,Breeder
Northern Parula,1,,,,,Breeder
Magnolia Warbler,,1,,,1,Breeder
Blackburnian Warbler,1,,,,,Breeder
Black-throated Green Warbler,,,,1,,Breeder
Blue-winged Teal,,,,1,,Breeder
Red-breasted Merganser,,,,1,,Breeder
Bald Eagle,,,,,1,Breeder
Philadelphia Vireo,1,,,,,Breeder
Lincoln's Sparrow,,1,,,,Breeder
Number of Vehicles,0,11,0,0,4
Excessive Noise,,,,,
Species,36,37,38,39,40, 
Mourning Dove,,,,,1,Breeder
Rock Pigeon,2,,,,,Breeder
Alder Flycatcher,2,1,,2,1,Breeder
Red-eyed Vireo,,,1,,,Breeder
Blue Jay,,,,,1,Breeder
American Crow,,1,2,,,Breeder
Tree Swallow,,2,,,,Breeder
Cedar Waxwing,3,,,,,Breeder
European Starling,1,1,1,2,1,Breeder
Veery,2,,,,,Breeder
American Robin,1,,,1,,Breeder
American Goldfinch,,2,4,3,,Breeder
Chipping Sparrow,,1,,1,,Breeder
Song Sparrow,1,2,2,,1,Breeder
Bobolink,,,,1,1,Breeder
Red-winged Blackbird,,,,1,4,Breeder
Common Grackle,,,,1,,Breeder
Common Yellowthroat,,1,,,2,Breeder
Yellow Warbler,,,,1,,Breeder
Merlin,,,,1,,Breeder
Number of Vehicles,2,3,6,0,0
Excessive Noise,,,,,
Species,41,42,43,44,45, 
Mourning Dove,,2,1,,,Breeder
(Yellow-shafted Flicker) Northern Flicker,1,,,,,Breeder
Alder Flycatcher,,1,1,1,,Breeder
Least Flycatcher,,,,,1,Breeder
Eastern Phoebe,,,,2,,Breeder
American Crow,3,,1,3,,Breeder
Black-capped Chickadee,,1,,,,Breeder
Tree Swallow,,2,,,4,Breeder
Cedar Waxwing,,2,7,,,Breeder
Gray Catbird,,,1,,,Breeder
European Starling,,10,,1,5,Breeder
American Robin,,,,2,,Breeder
American Goldfinch,1,2,,,,Breeder
White-throated Sparrow,1,,,,,Breeder
Savannah Sparrow,,,,,1,Breeder
Song Sparrow,,,,1,1,Breeder
Swamp Sparrow,,1,,,,Breeder
Bobolink,1,2,,2,,Breeder
Red-winged Blackbird,2,2,6,,2,Breeder
Ovenbird,1,,,,,Breeder
Black-and-white Warbler,,,1,,,Breeder
Common Yellowthroat,2,,,2,,Breeder
American Redstart,,1,,2,1,Breeder
Yellow Warbler,,,,,1,Breeder
Chestnut-sided Warbler,1,,,,,Breeder
Philadelphia Vireo,,,1,,,Breeder
Lincoln's Sparrow,,,,,2,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
Species,46,47,48,49,50, 
Mourning Dove,,,,,1,Breeder
Alder Flycatcher,1,,,,,Breeder
Red-eyed Vireo,,,1,,2,Breeder
Blue Jay,,,,1,,Breeder
Common Raven,,,,1,,Breeder
Tree Swallow,1,,,,,Breeder
Cedar Waxwing,,,1,,,Breeder
European Starling,,2,5,,,Breeder
Veery,1,,,,,Breeder
American Robin,,,,,3,Breeder
American Goldfinch,,,2,,,Breeder
White-throated Sparrow,,,1,,,Breeder
Song Sparrow,,1,,2,,Breeder
Swamp Sparrow,1,,,,,Breeder
Bobolink,2,4,,1,,Breeder
Red-winged Blackbird,4,,,,,Breeder
Common Grackle,,,,,1,Breeder
Ovenbird,,,,1,1,Breeder
Black-and-white Warbler,,1,,,,Breeder
Common Yellowthroat,2,,1,1,,Breeder
Northern Parula,,,1,,2,Breeder
Black-throated Green Warbler,,1,,,,Breeder
Bald Eagle,,,1,,,Breeder
Number of Vehicles,0,1,1,0,0
